% Table: appendix III, B: Pagiatakis, S.D. (1988).
%   "Ocean Tide Loading on a Self-Gravitating, Compressible, Layered, Anisotropic, Viscoelastic and Rotating Earth with Solid Inner Core and Fluid Outer Core."
%   Technical Report No. 139, UNB Geodesy and Geomatics Engineering.
%
% psi	 dgE (for 1 kg load)
%(deg)     (m/s^-2)
0.00010	-8.8920424E-18
0.00100	-8.8458172E-19
0.01000	-8.3870733E-20
0.02000	-3.9460883E-20
0.03000	-2.4746932E-20
0.04000	-1.7476517E-20
0.06000	-1.0398256E-20
0.08000	-7.0455103E-21
0.10000	-5.1701999E-21
0.15000	-2.9862274E-21
0.20000	-2.0984770E-21
0.25000	-1.6203257E-21
0.30000	-1.2542239E-21
0.35000	-9.7763967E-22
0.40000	-7.8236483E-22
0.45000	-6.5180832E-22
0.50000	-5.6713019E-22
0.55000	-5.1236805E-22
0.60000	-4.7499169E-22
0.80000	-3.5706440E-22
1.00000	-2.6760214E-22
1.20000	-2.0838031E-22
1.40000	-1.6572570E-22
1.60000	-1.3700041E-22
1.80000	-1.1575768E-22
2.00000	-9.8947860E-23
2.50000	-6.8467153E-23
3.00000	-5.0820664E-23
4.00000	-3.0736564E-23
5.00000	-2.0745551E-23
6.00000	-1.5110102E-23
7.00000	-1.1620520E-23
8.00000	-9.3405790E-24
9.00000	-7.7411605E-24
10.0000	-6.5722423E-24
12.0000	-4.9964810E-24
14.0000	-3.9415981E-24
16.0000	-3.2117023E-24
18.0000	-2.6549972E-24
20.0000	-2.2240223E-24
25.0000	-1.4453897E-24
30.0000	-9.1700826E-25
35.0000	-5.8224650E-25
40.0000	-3.3005103E-25
50.0000	-8.2018130E-26
60.0000	2.3832023E-26
70.0000	6.5778952E-26
80.0000	2.0347151E-26
90.0000	-4.2667814E-26
100.000	-8.0039623E-26
110.000	-1.2492395E-25
120.000	-1.6599978E-25
130.000	-1.9148632E-25
140.000	-2.1018431E-25
150.000	-2.2477045E-25
160.000	-2.3230601E-25
170.000	-2.3340041E-25
180.000	-2.3282437E-25
